family	init-inferred-rf	init-true-rf	inferred-true-rf
PF05182	0.8860759493670886	0.7088607594936709	0.8987341772151899
PF07749	0.9398496240601504	0.47368421052631576	0.9398496240601504
PF05608	0.9396551724137931	0.35344827586206895	0.9482758620689655
PF18780	0.9795918367346939	0.8010204081632653	0.9642857142857143
PF18945	0.9629629629629629	0.3950617283950617	0.9506172839506173
PF20531	0.9487179487179487	0.6153846153846154	0.9487179487179487
PF19780	0.958904109589041	0.547945205479452	0.9178082191780822
PF00594	0.9615384615384616	0.7435897435897436	0.9743589743589743
PF01841	0.9322033898305084	0.7627118644067796	0.9322033898305084
PF02190	0.9104477611940298	0.6567164179104478	0.8805970149253731
PF05651	0.8902439024390244	0.5365853658536586	0.8658536585365854
PF13432	0.9454545454545454	0.8909090909090909	1.0
PF03837	0.9285714285714286	0.38571428571428573	0.9428571428571428
PF06030	0.9473684210526315	0.5789473684210527	0.9649122807017544
PF21646	0.9508196721311475	0.5737704918032787	0.9672131147540983
PF12474	0.9583333333333334	0.5208333333333334	0.9375
PF11816	0.9538461538461539	0.3230769230769231	0.9538461538461539
PF00444	0.9622641509433962	0.6540880503144654	0.9622641509433962
PF12401	0.8571428571428571	0.44047619047619047	0.8809523809523809
PF01842	0.9596774193548387	0.6935483870967742	0.9516129032258065
PF19803	0.9534883720930233	0.5193798449612403	0.9457364341085271
PF00502	0.9464285714285714	0.39285714285714285	0.9464285714285714
PF21075	0.961038961038961	0.4675324675324675	0.961038961038961
PF01862	0.9605263157894737	0.42105263157894735	0.9473684210526315
PF15247	0.96	0.66	0.92
PF10861	0.9516129032258065	0.46774193548387094	0.9516129032258065
PF24472	0.8571428571428571	0.5918367346938775	0.8367346938775511
PF02042	0.9452054794520548	0.6575342465753424	0.9452054794520548
PF18143	0.8648648648648649	0.5405405405405406	0.8783783783783784
PF23844	0.9652173913043478	0.5130434782608696	0.9565217391304348
PF25225	0.9027777777777778	0.6111111111111112	0.875
PF08275	0.9104477611940298	0.8059701492537313	0.9402985074626866
PF13387	0.8852459016393442	0.3442622950819672	0.8524590163934426
PF24501	0.9722222222222222	0.6481481481481481	0.9629629629629629
PF13457	0.9625	0.5625	0.9625
PF02962	0.9411764705882353	0.36764705882352944	0.9411764705882353
PF22060	0.9634146341463414	0.5	0.9390243902439024
PF05215	0.9354838709677419	0.6370967741935484	0.9435483870967742
PF23958	0.9626168224299065	0.4672897196261682	0.9345794392523364
PF01909	0.9516129032258065	0.8387096774193549	0.8870967741935484
